Country Name,Country Code,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Aruba,ABW,912k,957k,947k,906k,972k,1211k,1178k,1225k,1184k,1304k,1286k,1285k,1254k,1383k,1420k,1394k,1469k,1481k,1667k,1739k,1832k,1758k,1863k,1897k,1951k,
Africa Eastern and Southern,AFE,11584k,13089k,13456k,14404k,15309k,15353k,15855k,17383k,17844k,18746k,19918k,22650k,25115k,25413k,25964k,29072k,31650k,32749k,34427k,35738k,35319k,37646k,38258k,41189k,39827k,
Afghanistan,AFG,,,,,,,,,,,,,,,,,,,,,,,,,,
Africa Western and Central,AFW,2671k,3027k,3243k,3423k,3898k,4163k,4616k,4697k,5013k,5839k,6321k,6956k,9390k,10158k,10570k,11071k,8902k,10221k,10086k,10545k,13312k,13151k,,,,
Angola,AGO,9k,21k,45k,52k,45k,51k,67k,91k,107k,194k,210k,121k,195k,294k,366k,425k,481k,528k,650k,595k,592k,397k,261k,218k,218k,
Albania,ALB,304k,287k,119k,184k,371k,317k,354k,470k,557k,645k,748k,937k,1127k,1420k,1856k,2417k,2932k,3514k,3256k,3673k,4131k,4736k,5118k,5927k,6406k,2658k
Andorra,AND,,,,,9422k,10991k,11351k,11507k,11601k,11668k,11049k,10737k,10743k,10194k,9112k,8551k,7983k,7900k,7676k,7797k,7850k,8025k,8152k,8328k,8235k,5207k
Arab World,ARB,,,,,,,,,,80985k,82980k,89388k,99187k,115509k,113944k,130382k,109790k,122650k,122580k,130621k,122564k,115220k,122153k,131893k,142448k,
United Arab Emirates,ARE,,,,,,,,,,,,,,,,,,,,,19313k,20894k,21805k,23092k,25282k,8084k
Argentina,ARG,2289k,2614k,2764k,3012k,2898k,2909k,2620k,2820k,2995k,3457k,3823k,4173k,4562k,4700k,4308k,6800k,6703k,6497k,6510k,7165k,6816k,6668k,6711k,6942k,7399k,
Armenia,ARM,12k,13k,23k,32k,41k,45k,123k,162k,206k,263k,319k,382k,511k,558k,575k,684k,758k,963k,1084k,1204k,1192k,1260k,1495k,1652k,1894k,375k
American Samoa,ASM,34k,35k,26k,36k,41k,44k,36k,,,,24k,25k,24k,24k,24k,23k,23k,23k,21k,22k,20k,20k,20k,20k,19k,1k
Antigua and Barbuda,ATG,447k,498k,526k,570k,560k,634k,624k,528k,623k,769k,712k,838k,935k,863k,944k,788k,848k,819k,777k,771k,894k,874k,1040k,1064k,1035k,384k
Australia,AUS,3726k,4165k,4318k,4167k,4459k,4931k,4856k,4841k,4746k,5215k,5499k,5532k,5644k,5586k,5490k,5790k,5771k,6032k,6482k,6922k,7449k,8269k,8815k,9246k,9466k,1828k
Austria,AUT,17173k,17090k,16647k,17352k,17467k,17982k,18180k,18611k,19078k,19374k,19952k,20269k,20773k,21935k,21355k,22004k,23012k,24151k,24813k,25291k,26728k,28121k,29460k,30816k,31884k,15091k
Azerbaijan,AZE,93k,210k,306k,483k,602k,681k,767k,834k,1038k,1279k,1177k,1194k,1333k,1899k,1830k,1963k,2239k,2484k,2509k,2298k,2006k,2249k,2697k,2850k,3170k,796k
Burundi,BDI,34k,27k,11k,15k,26k,29k,36k,74k,74k,133k,148k,214k,192k,202k,212k,142k,144k,147k,234k,235k,131k,187k,299k,,,
Belgium,BEL,5560k,5829k,6037k,6179k,6369k,6457k,6452k,6720k,6690k,6710k,6747k,6995k,7045k,7165k,6815k,7186k,7494k,7560k,7684k,7887k,8355k,7481k,8385k,9119k,9343k,2584k
Benin,BEN,580k,516k,541k,575k,941k,1068k,1155k,853k,850k,845k,960k,975k,1010k,1027k,,,222k,232k,252k,265k,279k,292k,307k,322k,337k,
Burkina Faso,BFA,124k,131k,138k,160k,117k,126k,128k,150k,163k,222k,245k,264k,289k,272k,269k,274k,238k,237k,218k,191k,163k,152k,143k,144k,143k,67k
Bangladesh,BGD,156k,166k,182k,172k,173k,199k,207k,207k,245k,271k,208k,200k,289k,467k,267k,139k,157k,160k,104k,134k,126k,182k,237k,267k,323k,
Bulgaria,BGR,8005k,6811k,7543k,5240k,5056k,4922k,5104k,5563k,6241k,6982k,7282k,7499k,7726k,8533k,7873k,8374k,8713k,8867k,9192k,9409k,9317k,10604k,11596k,12368k,12552k,4973k
Bahrain,BHR,2311k,1988k,2600k,2898k,3280k,3869k,4388k,4831k,4844k,5667k,6313k,7289k,7833k,8631k,8861k,11952k,6732k,8062k,9163k,10452k,9670k,10158k,11374k,12045k,11061k,1909k
"Bahamas, The",BHS,3239k,3416k,3446k,3348k,3648k,4204k,4183k,4406k,4594k,5004k,4779k,4731k,4601k,4394k,4645k,5255k,5588k,5940k,6151k,6320k,6112k,6265k,6136k,6622k,7250k,1794k
Bosnia and Herzegovina,BIH,,,115k,148k,147k,171k,139k,160k,165k,190k,217k,256k,306k,322k,311k,365k,392k,439k,529k,536k,678k,778k,923k,1053k,1198k,197k
